Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
ACE,240,10035,Personal Financial Planning,10,17,11,13,16,2,2,1,0,0,0,0,2,0,3.4,"Stoddard, Paul B"
ASTR,100,10005,Introduction to Astronomy,3,10,4,4,4,1,2,1,1,0,0,0,0,0,3.43,"Dunne, Bryan C"
ATMS,120,10002,Severe and Hazardous Weather,134,68,0,34,22,0,13,3,0,1,1,0,2,0,3.69,"Snodgrass, Eric R"
BADM,300,10013,The Legal Environment of Bus,4,15,11,8,19,4,7,4,3,1,2,0,4,1,2.97,"Marrs, Gregory A"
BADM,310,10014,Mgmt and Organizational Beh,6,77,8,2,5,5,6,5,2,0,0,0,0,1,3.65,"Shabbir, Muhammad S"
BADM,350,10015,IT for Networked Organizations,2,15,5,2,5,1,2,1,1,0,2,0,0,0,3.36,"Sachdev, Vishal"
BADM,375,10016,Business Process Management,2,6,2,5,8,1,3,0,0,0,0,0,0,0,3.32,"Chhajed, Dilip"
BADM,380,10017,International Business,5,12,3,2,0,0,0,0,0,0,0,2,0,0,3.63,"Bucheli, Marcelo"
CHLH,100,10028,Contemporary Health,3,27,15,7,14,1,0,2,0,1,0,0,1,0,3.5,"Trask, Jeffrey T"
CS,199,10030,Elements of Game Design,18,4,0,1,0,0,0,0,0,0,0,0,0,0,3.97,"Angrave, Lawrence C"
DANC,100,10027,Intro to Contemporary Dance,27,20,5,2,2,0,0,0,0,0,0,0,4,0,3.65,"Ferrell, Rebecca"
ECON,102,10019,Microeconomic Principles,2,72,12,6,9,1,1,2,0,0,1,0,5,2,3.58,"Sarmiento Barbi, Ignacio"
ECON,103,10020,Macroeconomic Principles,0,7,12,11,12,1,2,4,2,1,4,0,2,5,2.91,"Petry, Joseph A"
ECON,203,10021,Economic Statistics II,6,9,6,14,9,5,7,6,2,3,0,1,3,0,2.89,"Petry, Joseph A"
ECON,302,10026,Inter Microeconomic Theory,6,8,5,5,2,9,6,6,2,2,2,3,2,1,2.71,"Buckley, Bryan D"
GEOL,118,10007,Natural Disasters,11,7,4,2,1,2,0,1,0,0,0,0,0,0,3.7,"Altaner, Stephen P"
MACS,356,10011,Sex & Gender in Popular Media,0,3,4,0,7,1,2,0,3,0,0,0,1,1,2.86,"Valdivia, Angharad N"
MUS,130,10031,Introd to the Art of Music,15,4,1,0,1,1,0,1,0,0,0,0,0,0,3.8,"Jorge, Jamil"
MUS,130,10033,Introd to the Art of Music,11,5,1,0,1,1,0,0,2,0,0,0,0,0,3.65,"Jorge, Jamil"
PS,224,10029,Politics of the National Parks,15,4,5,2,1,1,0,1,0,0,0,1,0,0,3.65,"Britzman, Kylee J"
PSYC,100,10034,Intro Psych,12,52,11,6,5,0,4,2,0,1,0,0,4,0,3.57,"Shenouda, Christine K"
SOC,100,10018,Introduction to Sociology,0,79,6,7,11,1,2,3,0,0,3,0,2,0,3.6,"Steward, Daniel J"
